N,Z,A,Element,Mass Excess (keV),ME Error Margin,ME Calculated?,Binding Energy Per Nucleon (keV),BEN Error Margin,BEN Calculated?,Beta Decay Energy (keV),BDE Error Margin,BDE Calculated?,Atomic Mass (u),AM Error Margin,AM Calculated?
6,6,12,C,0.0,0.0,calculated,7680.1446,0.0002,calculated,-17338.0681,0.9999,calculated,12.0,0.0,calculated
5,7,12,N,17338.068,1.0,calculated,6170.11,0.0833,calculated,-14675.2668,12.0418,calculated,12.01861318,1.073,calculated
4,8,12,O,32013.335,12.0,calculated,4881.9755,1.0,calculated,,,absent,12.034367726,12.882,calculated
10,3,13,Li,56980.895,70.003,calculated,3507.6307,5.3848,calculated,23321.8152,70.7391,calculated,13.061171503,75.15,calculated
9,4,13,Be,33659.08,10.18,calculated,5241.4359,0.7831,calculated,17097.1315,10.2295,calculated,13.036134506,10.929,calculated
8,5,13,B,16561.948,1.0,calculated,6496.4194,0.0769,calculated,13436.9387,1.0001,calculated,13.017779981,1.073,calculated
7,6,13,C,3125.00933,0.00023,calculated,7469.8495,0.0002,calculated,-2220.4718,0.2695,calculated,13.00335483534,0.00025,calculated
6,7,13,N,5345.481,0.27,calculated,7238.8634,0.0207,calculated,-17769.9506,9.5301,calculated,13.005738609,0.289,calculated
5,8,13,O,23115.432,9.526,calculated,5811.7636,0.7328,calculated,-18915.0,500.0,estimated,13.024815435,10.226,calculated
4,9,13,F,42030.0,500.0,estimated,4297.0,38.0,estimated,,,absent,13.045121,537.0,estimated
10,4,14,Be,39954.502,132.245,calculated,4993.8973,9.4461,calculated,16290.8166,133.9357,calculated,14.04289292,141.97,calculated
9,5,14,B,23663.686,21.213,calculated,6101.6451,1.5152,calculated,20643.7926,21.2133,calculated,14.02540401,22.773,calculated
8,6,14,C,3019.89328,0.00375,calculated,7520.3198,0.0004,calculated,156.4765,0.0037,calculated,14.00324198862,0.00403,calculated
7,7,14,N,2863.41683,0.00022,calculated,7475.6148,0.0002,calculated,-5144.3643,0.0252,calculated,14.00307400425,0.00024,calculated
6,8,14,O,8007.781,0.025,calculated,7052.2783,0.0018,calculated,-23956.6215,41.1187,calculated,14.008596706,0.027,calculated
5,9,14,F,31964.403,41.119,calculated,5285.2091,2.9371,calculated,,,absent,14.034315196,44.142,calculated
11,4,15,Be,49825.821,165.797,calculated,4540.9708,11.0532,calculated,20868.4411,167.1256,calculated,15.053490215,177.99,calculated
10,5,15,B,28957.379,21.029,calculated,5880.0438,1.4019,calculated,19084.2343,21.0442,calculated,15.031087023,22.575,calculated
9,6,15,C,9873.145,0.8,calculated,7100.1696,0.0533,calculated,9771.7071,0.8,calculated,15.010599256,0.858,calculated
8,7,15,N,101.43809,0.00058,calculated,7699.4603,0.0002,calculated,-2754.1841,0.4902,calculated,15.00010889827,0.00062,calculated
7,8,15,O,2855.622,0.49,calculated,7463.6915,0.0327,calculated,-13711.13,14.0086,calculated,15.003065636,0.526,calculated
6,9,15,F,16566.752,14.0,calculated,6497.4597,0.9333,calculated,-23648.6215,68.1377,calculated,15.017785139,15.029,calculated
5,10,15,Ne,40215.374,66.684,calculated,4868.7285,4.4456,calculated,,,absent,15.043172977,71.588,calculated
12,4,16,Be,57447.139,165.797,calculated,4285.2851,10.3623,calculated,20335.4399,167.6075,calculated,16.061672036,177.99,calculated
11,5,16,B,37111.699,24.566,calculated,5507.3535,1.5354,calculated,23417.5656,24.8254,calculated,16.039841045,26.373,calculated
10,6,16,C,13694.133,3.578,calculated,6922.0546,0.2236,calculated,8010.226,4.254,calculated,16.014701255,3.84,calculated
9,7,16,N,5683.907,2.301,calculated,7373.7971,0.1438,calculated,10420.9094,2.3014,calculated,16.006101925,2.47,calculated
8,8,16,O,-4737.00217,0.0003,calculated,7976.2072,0.0002,calculated,-15412.184,5.3642,calculated,15.99491461926,0.00032,calculated
7,9,16,F,10675.182,5.364,calculated,6964.049,0.3353,calculated,-13311.5932,21.1709,calculated,16.011460278,5.758,calculated
6,10,16,Ne,23986.775,20.48,calculated,6083.1777,1.28,calculated,,,absent,16.02575086,21.986,calculated
12,5,17,B,43716.322,204.104,calculated,5269.6677,12.0061,calculated,22684.4422,204.841,calculated,17.046931399,219.114,calculated
11,6,17,C,21031.88,17.365,calculated,6558.0262,1.0215,calculated,13161.8007,22.9464,calculated,17.02257865,18.641,calculated
10,7,17,N,7870.079,15.0,calculated,7286.2294,0.8824,calculated,8678.843,15.0,calculated,17.008448876,16.103,calculated
9,8,17,O,-808.76421,0.00064,calculated,7750.7291,0.0002,calculated,-2760.4655,0.2479,calculated,16.99913175595,0.00069,calculated
8,9,17,F,1951.701,0.248,calculated,7542.3284,0.0146,calculated,-14548.7507,0.4323,calculated,17.002095237,0.266,calculated
7,10,17,Ne,16500.452,0.354,calculated,6640.4991,0.0208,calculated,-18219.1277,59.6167,calculated,17.017713962,0.38,calculated
6,11,17,Na,34719.58,59.616,calculated,5522.7653,3.5068,calculated,,,absent,17.037273,64.0,calculated
13,5,18,B,51792.64,204.165,calculated,4976.6306,11.3425,calculated,26873.3742,206.3572,calculated,18.055601683,219.18,calculated
12,6,18,C,24919.266,30.0,calculated,6426.1321,1.6667,calculated,11806.0982,35.2821,calculated,18.02675193,32.206,calculated
11,7,18,N,13113.167,18.57,calculated,7038.5627,1.0316,calculated,13895.9838,18.5695,calculated,18.014077563,19.935,calculated
10,8,18,O,-782.81634,0.00064,calculated,7767.0981,0.0002,calculated,-1655.9288,0.4633,calculated,17.99915961214,0.00069,calculated
9,9,18,F,873.112,0.463,calculated,7631.6383,0.0257,calculated,-4444.5049,0.5888,calculated,18.000937324,0.497,calculated
8,10,18,Ne,5317.617,0.363,calculated,7341.2577,0.0202,calculated,-19720.3745,93.8819,calculated,18.005708696,0.39,calculated
7,11,18,Na,25037.992,93.881,calculated,6202.2176,5.2156,calculated,,,absent,18.026879388,100.785,calculated
14,5,19,B,59770.251,525.363,calculated,4719.6346,27.6507,calculated,27356.4961,534.4964,calculated,19.064166,564.0,calculated
13,6,19,C,32413.754,98.389,calculated,6118.274,5.1784,calculated,16557.4995,99.7475,calculated,19.034797594,105.625,calculated
12,7,19,N,15856.255,16.404,calculated,6948.5452,0.8634,calculated,12523.3972,16.6143,calculated,19.017022389,17.61,calculated
11,8,19,O,3332.858,2.637,calculated,7566.4952,0.1388,calculated,4820.3029,2.637,calculated,19.003577969,2.83,calculated
10,9,19,F,-1487.44512,0.00082,calculated,7779.0192,0.0002,calculated,-3239.4986,0.1601,calculated,18.99840316207,0.00088,calculated
9,10,19,Ne,1752.054,0.16,calculated,7567.3431,0.0084,calculated,-11177.331,10.5364,calculated,19.001880906,0.171,calculated
8,11,19,Na,12929.384,10.535,calculated,6937.8864,0.5545,calculated,-18909.0095,60.9189,calculated,19.013880264,11.309,calculated
7,12,19,Mg,31838.394,60.001,calculated,5901.4992,3.1579,calculated,,,absent,19.03417992,64.413,calculated
15,5,20,B,69401.569,546.357,calculated,4405.6529,27.3178,calculated,31898.0019,593.0377,calculated,20.074505644,586.538,calculated
14,6,20,C,37503.567,230.625,calculated,5961.4356,11.5312,calculated,15737.0689,243.7459,calculated,20.040261732,247.585,calculated
13,7,20,N,21766.498,78.894,calculated,6709.1717,3.9447,calculated,17970.3261,78.8991,calculated,20.023367295,84.696,calculated
12,8,20,O,3796.172,0.885,calculated,7568.5707,0.0442,calculated,3813.6349,0.8854,calculated,20.004075357,0.95,calculated
11,9,20,F,-17.463,0.03,calculated,7720.1351,0.0015,calculated,7024.4689,0.0297,calculated,19.999981252,0.031,calculated
10,10,20,Ne,-7041.93217,0.00154,calculated,8032.2412,0.0002,calculated,-13892.4207,1.109,calculated,19.99244017525,0.00165,calculated
9,11,20,Na,6850.489,1.109,calculated,7298.5028,0.0554,calculated,-10627.2054,2.1681,calculated,20.007354301,1.19,calculated
8,12,20,Mg,17477.694,1.863,calculated,6728.0252,0.0931,calculated,,,absent,20.018763075,2.0,calculated
16,5,21,B,78382.887,558.664,calculated,4152.5265,26.6031,calculated,32740.0,817.0,estimated,21.084147485,599.75,calculated
15,6,21,C,45643.0,596.0,estimated,5674.0,28.0,estimated,20411.0,611.0,estimated,21.049,640.0,estimated
14,7,21,N,25231.915,134.048,calculated,6609.0159,6.3832,calculated,17169.8816,134.584,calculated,21.027087573,143.906,calculated
13,8,21,O,8062.034,12.0,calculated,7389.3747,0.5714,calculated,8109.639,12.1342,calculated,21.008654948,12.882,calculated
12,9,21,F,-47.605,1.8,calculated,7738.2934,0.0857,calculated,5684.1712,1.8004,calculated,20.999948893,1.932,calculated
11,10,21,Ne,-5731.776,0.038,calculated,7971.7136,0.0018,calculated,-3546.919,0.0177,calculated,20.993846685,0.041,calculated
10,11,21,Na,-2184.857,0.042,calculated,7765.5581,0.002,calculated,-13088.708,0.7557,calculated,20.997654459,0.045,calculated
9,12,21,Mg,10903.851,0.755,calculated,7105.0317,0.0359,calculated,-16186.0,600.0,estimated,21.011705764,0.81,calculated
8,13,21,Al,27090.0,600.0,estimated,6297.0,29.0,estimated,,,absent,21.029082,644.0,estimated
16,6,22,C,53611.203,231.49,calculated,5421.0778,10.5223,calculated,21846.3983,311.0627,calculated,22.05755399,248.515,calculated
15,7,22,N,31764.805,207.779,calculated,6378.5347,9.4445,calculated,22481.7725,215.435,calculated,22.034100918,223.06,calculated
14,8,22,O,9283.032,56.921,calculated,7364.8722,2.5873,calculated,6489.6562,58.2558,calculated,22.009965744,61.107,calculated
13,9,22,F,2793.376,12.399,calculated,7624.2954,0.5636,calculated,10818.0916,12.399,calculated,22.002998812,13.31,calculated
12,10,22,Ne,-8024.716,0.018,calculated,8080.4656,0.0008,calculated,-2843.3243,0.1325,calculated,21.991385113,0.018,calculated
11,11,22,Na,-5181.391,0.132,calculated,7915.6624,0.006,calculated,-4781.4051,0.1631,calculated,21.994437547,0.141,calculated
10,12,22,Mg,-399.986,0.159,calculated,7662.7645,0.0072,calculated,-18601.0,401.0,estimated,21.999570597,0.17,calculated
9,13,22,Al,18201.0,401.0,estimated,6782.0,18.0,estimated,-15439.0,641.0,estimated,22.01954,430.0,estimated
8,14,22,Si,33640.0,500.0,estimated,6044.0,23.0,estimated,,,absent,22.036114,537.0,estimated
17,6,23,C,64171.0,997.0,estimated,5077.0,43.0,estimated,27450.0,1082.0,estimated,23.06889,1070.0,estimated
16,7,23,N,36720.429,420.57,calculated,6236.6721,18.2856,calculated,22099.0584,437.8271,calculated,23.039421,451.5,calculated
15,8,23,O,14621.371,121.712,calculated,7163.4856,5.2918,calculated,11336.1072,126.1904,calculated,23.015696686,130.663,calculated
14,9,23,F,3285.263,33.32,calculated,7622.3447,1.4487,calculated,8439.3084,33.3206,calculated,23.003526875,35.77,calculated
13,10,23,Ne,-5154.045,0.104,calculated,7955.2561,0.0045,calculated,4375.8085,0.1044,calculated,22.994466905,0.112,calculated
12,11,23,Na,-9529.85352,0.00181,calculated,8111.4936,0.0002,calculated,-4056.179,0.0317,calculated,22.98976928195,0.00194,calculated
11,12,23,Mg,-5473.675,0.032,calculated,7901.1229,0.0014,calculated,-12221.7457,0.3461,calculated,22.994123768,0.034,calculated
10,13,23,Al,6748.071,0.345,calculated,7335.7275,0.015,calculated,-17202.0,500.0,estimated,23.007244351,0.37,calculated
9,14,23,Si,23950.0,500.0,estimated,6554.0,22.0,estimated,,,absent,23.025711,537.0,estimated
17,7,24,N,46938.0,401.0,estimated,5887.0,17.0,estimated,28438.0,433.0,estimated,24.05039,430.0,estimated
16,8,24,O,18500.404,164.874,calculated,7039.6855,6.8698,calculated,10955.8885,191.6327,calculated,24.019861,177.0,calculated
15,9,24,F,7544.516,97.67,calculated,7463.5831,4.0696,calculated,13496.1583,97.6717,calculated,24.00809937,104.853,calculated
14,10,24,Ne,-5951.642,0.513,calculated,7993.3252,0.0214,calculated,2466.2583,0.513,calculated,23.993610649,0.55,calculated
13,11,24,Na,-8417.901,0.017,calculated,8063.4882,0.0007,calculated,5515.6774,0.021,calculated,23.990963012,0.017,calculated
12,12,24,Mg,-13933.578,0.013,calculated,8260.7103,0.0006,calculated,-13884.766,0.2282,calculated,23.985041689,0.013,calculated
11,13,24,Al,-48.812,0.228,calculated,7649.5806,0.0095,calculated,-10793.9978,19.4734,calculated,23.999947598,0.244,calculated
10,14,24,Si,10745.186,19.472,calculated,7167.2329,0.8113,calculated,-23275.0,501.0,estimated,24.01153543,20.904,calculated
9,15,24,P,34020.0,500.0,estimated,6165.0,21.0,estimated,,,absent,24.036522,537.0,estimated
18,7,25,N,55983.0,503.0,estimated,5613.0,20.0,estimated,28654.0,529.0,estimated,25.0601,540.0,estimated
17,8,25,O,27329.03,165.084,calculated,6727.8058,6.6034,calculated,15994.8633,191.1909,calculated,25.029338919,177.225,calculated
16,9,25,F,11334.167,96.442,calculated,7336.3065,3.8577,calculated,13369.6698,100.7212,calculated,25.012167727,103.535,calculated
15,10,25,Ne,-2035.503,29.045,calculated,7839.7994,1.1618,calculated,7322.3107,29.0701,calculated,24.997814797,31.181,calculated
14,11,25,Na,-9357.814,1.2,calculated,8101.3979,0.048,calculated,3834.9684,1.2009,calculated,24.989953974,1.288,calculated
13,12,25,Mg,-13192.782,0.047,calculated,8223.5028,0.0019,calculated,-4276.808,0.0447,calculated,24.985836966,0.05,calculated
12,13,25,Al,-8915.974,0.065,calculated,8021.1366,0.0026,calculated,-12743.2956,10.0002,calculated,24.990428308,0.069,calculated
11,14,25,Si,3827.322,10.0,calculated,7480.1109,0.4,calculated,-16363.0,400.0,estimated,25.004108798,10.735,calculated
10,15,25,P,20190.0,400.0,estimated,6794.0,16.0,estimated,,,absent,25.021675,429.0,estimated
18,8,26,O,34661.041,164.95,calculated,6497.479,6.3442,calculated,15986.3855,196.6301,calculated,26.037210155,177.081,calculated
17,9,26,F,18674.655,107.027,calculated,7082.2497,4.1164,calculated,18193.5414,108.6022,calculated,26.020048065,114.898,calculated
