N,Z,A,Element,Mass Excess (keV),ME Error Margin,ME Calculated?,Binding Energy Per Nucleon (keV),BEN Error Margin,BEN Calculated?,Beta Decay Energy (keV),BDE Error Margin,BDE Calculated?,Atomic Mass (u),AM Error Margin,AM Calculated?
41,28,69,Ni,-59978.656,3.726,calculated,8623.0998,0.054,calculated,5757.565,3.9793,calculated,68.935610267,4.0,calculated
40,29,69,Cu,-65736.221,1.397,calculated,8695.2044,0.0203,calculated,2681.6854,1.6075,calculated,68.929429267,1.5,calculated
39,30,69,Zn,-68417.906,0.795,calculated,8722.7311,0.0115,calculated,909.9134,1.4234,calculated,68.92655036,0.853,calculated
38,31,69,Ga,-69327.82,1.197,calculated,8724.5798,0.0174,calculated,-2227.1455,0.55,calculated,68.925573528,1.285,calculated
37,32,69,Ge,-67100.674,1.318,calculated,8680.964,0.0191,calculated,-3988.4927,31.9822,calculated,68.927964467,1.414,calculated
36,33,69,As,-63112.181,31.999,calculated,8611.8214,0.4638,calculated,-6677.4672,32.0215,calculated,68.932246289,34.352,calculated
35,34,69,Se,-56434.714,1.49,calculated,8503.7082,0.0216,calculated,-10175.2364,42.0293,calculated,68.939414845,1.599,calculated
34,35,69,Br,-46259.478,42.003,calculated,8344.9026,0.6087,calculated,-14119.0,303.0,estimated,68.95033841,45.091,calculated
33,36,69,Kr,-32140.0,300.0,estimated,8129.0,4.0,estimated,,,absent,68.965496,322.0,estimated
46,24,70,Cr,-5640.0,600.0,estimated,7884.0,9.0,estimated,14810.0,781.0,estimated,69.993945,644.0,estimated
45,25,70,Mn,-20450.0,500.0,estimated,8084.0,7.0,estimated,16440.0,583.0,estimated,69.978046,537.0,estimated
44,26,70,Fe,-36890.0,300.0,estimated,8308.0,4.0,estimated,9635.0,300.0,estimated,69.960397,322.0,estimated
43,27,70,Co,-46524.963,10.992,calculated,8434.198,0.157,calculated,12688.9049,11.1987,calculated,69.9500534,11.8,calculated
42,28,70,Ni,-59213.868,2.144,calculated,8604.2917,0.0306,calculated,3762.5123,2.4011,calculated,69.9364313,2.301,calculated
41,29,70,Cu,-62976.381,1.082,calculated,8646.8655,0.0155,calculated,6588.3675,2.2018,calculated,69.932392078,1.161,calculated
40,30,70,Zn,-69564.748,1.918,calculated,8729.8086,0.0274,calculated,-654.5979,1.5737,calculated,69.925319175,2.058,calculated
39,31,70,Ga,-68910.15,1.201,calculated,8709.2808,0.0172,calculated,1651.8861,1.452,calculated,69.926021914,1.289,calculated
38,32,70,Ge,-70562.036,0.82,calculated,8721.7028,0.0117,calculated,-6228.063,1.62,calculated,69.924248542,0.88,calculated
37,33,70,As,-64333.973,1.397,calculated,8621.5541,0.02,calculated,-2404.0737,2.1118,calculated,69.930934642,1.5,calculated
36,34,70,Se,-61929.9,1.584,calculated,8576.0338,0.0226,calculated,-10504.2727,14.9878,calculated,69.933515521,1.7,calculated
35,35,70,Br,-51425.627,14.904,calculated,8414.7964,0.2129,calculated,-10325.0,201.0,estimated,69.944792321,16.0,calculated
34,36,70,Kr,-41100.0,200.0,estimated,8256.0,3.0,estimated,,,absent,69.955877,215.0,estimated
46,25,71,Mn,-16620.0,500.0,estimated,8030.0,7.0,estimated,15310.0,640.0,estimated,70.982158,537.0,estimated
45,26,71,Fe,-31930.0,400.0,estimated,8235.0,6.0,estimated,12440.0,613.0,estimated,70.965722,429.0,estimated
44,27,71,Co,-44369.93,465.03,calculated,8398.7344,6.5497,calculated,11036.3053,465.0353,calculated,70.952366923,499.23,calculated
43,28,71,Ni,-55406.236,2.237,calculated,8543.1564,0.0315,calculated,7304.8989,2.6879,calculated,70.940518962,2.401,calculated
42,29,71,Cu,-62711.134,1.49,calculated,8635.0233,0.021,calculated,4617.6517,3.0437,calculated,70.932676831,1.6,calculated
41,30,71,Zn,-67328.786,2.654,calculated,8689.0417,0.0374,calculated,2810.3405,2.7748,calculated,70.927719578,2.849,calculated
40,31,71,Ga,-70139.127,0.811,calculated,8717.605,0.0114,calculated,-232.4698,0.0934,calculated,70.924702554,0.87,calculated
39,32,71,Ge,-69906.657,0.815,calculated,8703.3118,0.0115,calculated,-2013.4,4.0825,calculated,70.92495212,0.874,calculated
38,33,71,As,-67893.257,4.163,calculated,8663.935,0.0586,calculated,-4746.742,5.014,calculated,70.927113594,4.469,calculated
37,34,71,Se,-63146.515,2.794,calculated,8586.0606,0.0394,calculated,-6644.0883,6.082,calculated,70.932209431,3.0,calculated
36,35,71,Br,-56502.426,5.402,calculated,8481.4629,0.0761,calculated,-10175.2155,128.8452,calculated,70.939342153,5.799,calculated
35,36,71,Kr,-46327.211,128.769,calculated,8327.131,1.8136,calculated,-14037.0,420.0,estimated,70.950265695,138.238,calculated
34,37,71,Rb,-32290.0,400.0,estimated,8118.0,6.0,estimated,,,absent,70.965335,429.0,estimated
47,25,72,Mn,-11170.0,600.0,estimated,7955.0,8.0,estimated,18080.0,781.0,estimated,71.988009,644.0,estimated
46,26,72,Fe,-29250.0,500.0,estimated,8195.0,7.0,estimated,11050.0,583.0,estimated,71.968599,537.0,estimated
45,27,72,Co,-40300.0,300.0,estimated,8338.0,4.0,estimated,13926.0,300.0,estimated,71.956736,322.0,estimated
44,28,72,Ni,-54226.068,2.237,calculated,8520.2118,0.0311,calculated,5556.9381,2.6374,calculated,71.941785924,2.401,calculated
43,29,72,Cu,-59783.006,1.397,calculated,8586.5256,0.0194,calculated,8362.4883,2.5578,calculated,71.935820306,1.5,calculated
42,30,72,Zn,-68145.495,2.142,calculated,8691.8053,0.0298,calculated,442.7892,2.2934,calculated,71.926842806,2.3,calculated
41,31,72,Ga,-68588.284,0.818,calculated,8687.0893,0.0114,calculated,3997.6263,0.8217,calculated,71.926367452,0.878,calculated
40,32,72,Ge,-72585.91,0.076,calculated,8731.7459,0.0011,calculated,-4356.1019,4.0825,calculated,71.922075824,0.081,calculated
39,33,72,As,-68229.808,4.083,calculated,8660.3786,0.0567,calculated,-361.6194,4.5276,calculated,71.926752291,4.383,calculated
38,34,72,Se,-67868.189,1.956,calculated,8644.4902,0.0272,calculated,-8806.4384,2.2083,calculated,71.927140506,2.1,calculated
37,35,72,Br,-59061.75,1.025,calculated,8511.3126,0.0142,calculated,-5121.1683,8.0761,calculated,71.936594606,1.1,calculated
36,36,72,Kr,-53940.582,8.011,calculated,8429.3193,0.1113,calculated,-15611.0,500.0,estimated,71.942092406,8.6,calculated
35,37,72,Rb,-38330.0,500.0,estimated,8202.0,7.0,estimated,,,absent,71.958851,537.0,estimated
48,25,73,Mn,-6700.0,600.0,estimated,7895.0,8.0,estimated,17289.0,781.0,estimated,72.992807,644.0,estimated
47,26,73,Fe,-23990.0,500.0,estimated,8121.0,7.0,estimated,13980.0,583.0,estimated,72.974246,537.0,estimated
46,27,73,Co,-37970.0,300.0,estimated,8302.0,4.0,estimated,12139.0,300.0,estimated,72.959238,322.0,estimated
45,28,73,Ni,-50108.159,2.423,calculated,8457.6529,0.0332,calculated,8879.2856,3.1038,calculated,72.946206681,2.601,calculated
44,29,73,Cu,-58987.445,1.942,calculated,8568.5699,0.0266,calculated,6605.9659,2.691,calculated,72.936674376,2.084,calculated
43,30,73,Zn,-65593.411,1.863,calculated,8648.3455,0.0255,calculated,4105.9329,2.5064,calculated,72.92958258,2.0,calculated
42,31,73,Ga,-69699.343,1.677,calculated,8693.874,0.023,calculated,1598.1889,1.6777,calculated,72.92517468,1.8,calculated
41,32,73,Ge,-71297.532,0.057,calculated,8705.05,0.0008,calculated,-344.7759,3.8528,calculated,72.923458954,0.061,calculated
40,33,73,As,-70952.757,3.853,calculated,8689.6099,0.0528,calculated,-2725.3604,7.3993,calculated,72.923829086,4.136,calculated
39,34,73,Se,-68227.396,7.424,calculated,8641.5591,0.1017,calculated,-4581.6095,10.0278,calculated,72.926754881,7.969,calculated
38,35,73,Br,-63645.787,6.741,calculated,8568.0803,0.0923,calculated,-7094.0287,9.4187,calculated,72.931673441,7.237,calculated
37,36,73,Kr,-56551.758,6.578,calculated,8460.1847,0.0901,calculated,-10540.1468,41.3212,calculated,72.939289193,7.061,calculated
36,37,73,Rb,-46011.611,40.794,calculated,8305.0821,0.5588,calculated,-14061.0,403.0,estimated,72.950604506,43.794,calculated
35,38,73,Sr,-31950.0,401.0,estimated,8102.0,5.0,estimated,,,absent,72.9657,430.0,estimated
48,26,74,Fe,-20660.0,500.0,estimated,8076.0,7.0,estimated,12881.0,640.0,estimated,73.977821,537.0,estimated
47,27,74,Co,-33540.0,400.0,estimated,8239.0,5.0,estimated,15160.0,447.0,estimated,73.963993,429.0,estimated
46,28,74,Ni,-48700.0,200.0,estimated,8433.0,3.0,estimated,7306.0,200.0,estimated,73.947718,215.0,estimated
45,29,74,Cu,-56006.213,6.148,calculated,8521.5633,0.0831,calculated,9750.5077,6.6424,calculated,73.93987486,6.6,calculated
44,30,74,Zn,-65756.72,2.515,calculated,8642.7547,0.034,calculated,2292.9057,3.9102,calculated,73.92940726,2.7,calculated
43,31,74,Ga,-68049.626,2.994,calculated,8663.1676,0.0405,calculated,5372.8249,2.9941,calculated,73.926945725,3.214,calculated
42,32,74,Ge,-73422.451,0.013,calculated,8725.2011,0.0003,calculated,-2562.3871,1.6931,calculated,73.92117776,0.013,calculated
41,33,74,As,-70860.064,1.693,calculated,8680.002,0.0229,calculated,1353.1467,1.6931,calculated,73.923928596,1.817,calculated
40,34,74,Se,-72213.21,0.015,calculated,8687.7155,0.0003,calculated,-6925.0492,5.8354,calculated,73.922475933,0.015,calculated
39,35,74,Br,-65288.161,5.835,calculated,8583.5615,0.0789,calculated,-2956.3173,6.173,calculated,73.929910279,6.264,calculated
38,36,74,Kr,-62331.844,2.013,calculated,8533.039,0.0272,calculated,-10415.828,3.424,calculated,73.933084016,2.161,calculated
37,37,74,Rb,-51916.016,3.027,calculated,8381.7123,0.0409,calculated,-11089.0,100.0,estimated,73.944265867,3.249,calculated
36,38,74,Sr,-40827.0,100.0,estimated,8221.0,1.0,estimated,,,absent,73.95617,107.0,estimated
49,26,75,Fe,-14700.0,600.0,estimated,7996.0,8.0,estimated,15861.0,721.0,estimated,74.984219,644.0,estimated
48,27,75,Co,-30560.0,400.0,estimated,8197.0,5.0,estimated,13680.0,447.0,estimated,74.967192,429.0,estimated
47,28,75,Ni,-44240.0,200.0,estimated,8369.0,3.0,estimated,10230.0,200.0,estimated,74.952506,215.0,estimated
46,29,75,Cu,-54470.219,0.718,calculated,8495.0801,0.0096,calculated,8088.6967,2.0837,calculated,74.941523817,0.77,calculated
45,30,75,Zn,-62558.916,1.956,calculated,8592.4981,0.0261,calculated,5901.7231,2.0679,calculated,74.932840244,2.1,calculated
44,31,75,Ga,-68460.639,0.671,calculated,8660.7565,0.0089,calculated,3396.3337,0.6727,calculated,74.926504484,0.72,calculated
43,32,75,Ge,-71856.973,0.052,calculated,8695.6096,0.0007,calculated,1177.2301,0.8851,calculated,74.92285837,0.055,calculated
42,33,75,As,-73034.203,0.884,calculated,8700.8748,0.0118,calculated,-864.7139,0.8816,calculated,74.921594562,0.948,calculated
41,34,75,Se,-72169.489,0.073,calculated,8678.9139,0.001,calculated,-3062.4694,4.2855,calculated,74.92252287,0.078,calculated
40,35,75,Br,-69107.02,4.285,calculated,8627.6497,0.0571,calculated,-4783.388,9.1671,calculated,74.925810566,4.6,calculated
39,36,75,Kr,-64323.632,8.104,calculated,8553.4399,0.1081,calculated,-7104.9299,8.1895,calculated,74.930945744,8.7,calculated
38,37,75,Rb,-57218.702,1.18,calculated,8448.2762,0.0157,calculated,-10600.0,220.0,calculated,74.9385732,1.266,calculated
37,38,75,Sr,-46618.702,220.003,calculated,8296.5116,2.9334,calculated,-14799.0,372.0,estimated,74.949952767,236.183,calculated
36,39,75,Y,-31820.0,300.0,estimated,8089.0,4.0,estimated,,,absent,74.96584,322.0,estimated
50,26,76,Fe,-10590.0,600.0,estimated,7943.0,8.0,estimated,15070.0,781.0,estimated,75.988631,644.0,estimated
49,27,76,Co,-25660.0,500.0,estimated,8131.0,7.0,estimated,16530.0,583.0,estimated,75.972453,537.0,estimated
48,28,76,Ni,-42190.0,300.0,estimated,8338.0,4.0,estimated,8791.0,300.0,estimated,75.954707,322.0,estimated
47,29,76,Cu,-50981.627,0.913,calculated,8443.6018,0.012,calculated,11321.3964,1.7183,calculated,75.945268974,0.98,calculated
46,30,76,Zn,-62303.024,1.456,calculated,8582.2735,0.0192,calculated,3993.6241,2.4384,calculated,75.933114956,1.562,calculated
45,31,76,Ga,-66296.648,1.956,calculated,8624.5272,0.0257,calculated,6916.2501,1.9562,calculated,75.928827624,2.1,calculated
44,32,76,Ge,-73212.898,0.018,calculated,8705.2364,0.0003,calculated,-921.5145,0.8864,calculated,75.921402725,0.019,calculated
43,33,76,As,-72291.384,0.886,calculated,8682.8172,0.0117,calculated,2960.5756,0.8864,calculated,75.922392011,0.951,calculated
42,34,76,Se,-75251.959,0.016,calculated,8711.4781,0.0003,calculated,-4962.881,9.3218,calculated,75.919213702,0.017,calculated
41,35,76,Br,-70289.078,9.322,calculated,8635.883,0.1227,calculated,-1275.3724,10.149,calculated,75.924541574,10.007,calculated
40,36,76,Kr,-69013.706,4.013,calculated,8608.8077,0.0528,calculated,-8534.6172,4.1214,calculated,75.925910743,4.308,calculated
39,37,76,Rb,-60479.089,0.938,calculated,8486.2161,0.0123,calculated,-6231.4432,34.478,calculated,75.935073031,1.006,calculated
38,38,76,Sr,-54247.645,34.465,calculated,8393.9294,0.4535,calculated,-15998.0,302.0,estimated,75.94176276,37.0,calculated
37,39,76,Y,-38250.0,300.0,estimated,8173.0,4.0,estimated,,,absent,75.958937,322.0,estimated
50,27,77,Co,-21910.0,600.0,estimated,8082.0,8.0,estimated,15440.0,721.0,estimated,76.976479,644.0,estimated
49,28,77,Ni,-37350.0,400.0,estimated,8272.0,5.0,estimated,11513.0,400.0,estimated,76.959903,429.0,estimated
48,29,77,Cu,-48862.828,1.211,calculated,8411.2501,0.0157,calculated,9926.375,2.3148,calculated,76.947543599,1.3,calculated
47,30,77,Zn,-58789.203,1.973,calculated,8530.0037,0.0256,calculated,7203.1495,3.1237,calculated,76.936887197,2.117,calculated
46,31,77,Ga,-65992.352,2.422,calculated,8613.3907,0.0315,calculated,5220.5176,2.4225,calculated,76.929154299,2.6,calculated
45,32,77,Ge,-71212.87,0.053,calculated,8671.0293,0.0007,calculated,2703.4642,1.6926,calculated,76.923549843,0.056,calculated
44,33,77,As,-73916.334,1.692,calculated,8695.9789,0.022,calculated,683.1627,1.692,calculated,76.920647555,1.816,calculated
43,34,77,Se,-74599.497,0.062,calculated,8694.6908,0.0008,calculated,-1364.6792,2.8099,calculated,76.91991415,0.067,calculated
42,35,77,Br,-73234.818,2.811,calculated,8666.8073,0.0365,calculated,-3065.3663,3.4244,calculated,76.921379193,3.017,calculated
41,36,77,Kr,-70169.451,1.956,calculated,8616.837,0.0254,calculated,-5338.9516,2.351,calculated,76.924669999,2.1,calculated
40,37,77,Rb,-64830.5,1.304,calculated,8537.3396,0.0169,calculated,-7027.0566,8.0244,calculated,76.930401599,1.4,calculated
39,38,77,Sr,-57803.443,7.918,calculated,8435.9188,0.1028,calculated,-11365.0,203.0,estimated,76.937945454,8.5,calculated
38,39,77,Y,-46439.0,203.0,estimated,8278.0,3.0,estimated,-14839.0,448.0,estimated,76.950146,218.0,estimated
37,40,77,Zr,-31600.0,400.0,estimated,8075.0,5.0,estimated,,,absent,76.966076,429.0,estimated
51,27,78,Co,-15320.0,700.0,estimated,7997.0,9.0,estimated,19560.0,806.0,estimated,77.983553,751.0,estimated
50,28,78,Ni,-34880.0,400.0,estimated,8238.0,5.0,estimated,9910.0,400.0,estimated,77.962555,429.0,estimated
49,29,78,Cu,-44789.474,13.332,calculated,8354.6695,0.1709,calculated,12693.768,13.4727,calculated,77.951916524,14.312,calculated
48,30,78,Zn,-57483.242,1.944,calculated,8507.38,0.0249,calculated,6220.8433,2.2088,calculated,77.938289204,2.086,calculated
47,31,78,Ga,-63704.085,1.051,calculated,8577.1043,0.0135,calculated,8157.9729,3.6884,calculated,77.931610854,1.127,calculated
46,32,78,Ge,-71862.058,3.536,calculated,8671.6636,0.0453,calculated,954.9114,10.3987,calculated,77.922852911,3.795,calculated
45,33,78,As,-72816.97,9.779,calculated,8673.876,0.1254,calculated,4208.9819,9.7801,calculated,77.921827771,10.498,calculated
44,34,78,Se,-77025.952,0.179,calculated,8717.8072,0.0023,calculated,-3573.7836,3.575,calculated,77.917309244,0.191,calculated
43,35,78,Br,-73452.168,3.58,calculated,8661.9594,0.0459,calculated,726.1153,3.5845,calculated,77.921145858,3.842,calculated
42,36,78,Kr,-74178.283,0.307,calculated,8661.2385,0.0039,calculated,-7242.856,3.252,calculated,77.920366341,0.329,calculated
41,37,78,Rb,-66935.427,3.237,calculated,8558.3512,0.0415,calculated,-3761.4779,8.1248,calculated,77.928141866,3.475,calculated
40,38,78,Sr,-63173.949,7.452,calculated,8500.0971,0.0955,calculated,-11001.0,298.0,estimated,77.932179979,8.0,calculated
39,39,78,Y,-52173.0,298.0,estimated,8349.0,4.0,estimated,-11323.0,499.0,estimated,77.94399,320.0,estimated
38,40,78,Zr,-40850.0,400.0,estimated,8194.0,5.0,estimated,,,absent,77.956146,429.0,estimated
51,28,79,Ni,-28160.0,500.0,estimated,8150.0,6.0,estimated,14248.0,511.0,estimated,78.969769,537.0,estimated
50,29,79,Cu,-42408.039,104.979,calculated,8320.938,1.3289,calculated,11024.2629,105.003,calculated,78.9544731,112.7,calculated
49,30,79,Zn,-53432.302,2.225,calculated,8450.5825,0.0282,calculated,9116.0536,2.5295,calculated,78.942638067,2.388,calculated
48,31,79,Ga,-62548.355,1.208,calculated,8556.0725,0.0153,calculated,6978.8242,37.1467,calculated,78.932851582,1.296,calculated
47,32,79,Ge,-69527.18,37.161,calculated,8634.5089,0.4704,calculated,4108.9014,37.4361,calculated,78.925359506,39.893,calculated
46,33,79,As,-73636.081,5.325,calculated,8676.6172,0.0674,calculated,2281.3849,5.3284,calculated,78.920948419,5.716,calculated
45,34,79,Se,-75917.466,0.223,calculated,8695.5923,0.0028,calculated,150.6016,1.0186,calculated,78.918499252,0.238,calculated
44,35,79,Br,-76068.067,1.001,calculated,8687.5956,0.0127,calculated,-1625.7778,3.3333,calculated,78.918337574,1.074,calculated
43,36,79,Kr,-74442.29,3.48,calculated,8657.113,0.0441,calculated,-3639.5114,3.9423,calculated,78.920082919,3.736,calculated
42,37,79,Rb,-70802.778,1.943,calculated,8601.1401,0.0246,calculated,-5323.114,7.563,calculated,78.923990095,2.085,calculated
41,38,79,Sr,-65479.664,7.421,calculated,8523.8558,0.0939,calculated,-7676.7291,80.4515,calculated,78.929704692,7.967,calculated
40,39,79,Y,-57802.935,80.108,calculated,8416.7788,1.014,calculated,-11033.0,310.0,estimated,78.937946,86.0,calculated
39,40,79,Zr,-46770.0,300.0,estimated,8267.0,4.0,estimated,-15120.0,583.0,estimated,78.94979,322.0,estimated
38,41,79,Nb,-31650.0,500.0,estimated,8066.0,6.0,estimated,,,absent,78.966022,537.0,estimated
52,28,80,Ni,-23240.0,600.0,estimated,8088.0,7.0,estimated,13440.0,671.0,estimated,79.975051,644.0,estimated
51,29,80,Cu,-36679.0,300.0,estimated,8246.0,4.0,estimated,14969.0,300.0,estimated,79.960623,322.0,estimated
50,30,80,Zn,-51648.619,2.585,calculated,8423.5457,0.0323,calculated,7575.0553,3.8774,calculated,79.944552929,2.774,calculated
49,31,80,Ga,-59223.675,2.891,calculated,8508.4545,0.0361,calculated,10311.6397,3.5409,calculated,79.936420773,3.103,calculated
48,32,80,Ge,-69535.314,2.054,calculated,8627.5707,0.0257,calculated,2679.2869,3.9156,calculated,79.925350773,2.205,calculated
47,33,80,As,-72214.601,3.333,calculated,8651.2824,0.0417,calculated,5544.8861,3.4412,calculated,79.92247444,3.578,calculated
46,34,80,Se,-77759.487,0.947,calculated,8710.8142,0.0118,calculated,-1870.4623,0.3095,calculated,79.916521761,1.016,calculated
45,35,80,Br,-75889.025,0.993,calculated,8677.6541,0.0124,calculated,2004.4299,1.1413,calculated,79.918529784,1.065,calculated
44,36,80,Kr,-77893.455,0.695,calculated,8692.9301,0.0087,calculated,-5717.9785,1.9883,calculated,79.91637794,0.745,calculated
43,37,80,Rb,-72175.476,1.863,calculated,8611.676,0.0233,calculated,-1864.009,3.9331,calculated,79.922516442,2.0,calculated
42,38,80,Sr,-70311.467,3.464,calculated,8578.5966,0.0433,calculated,-9163.305,7.1389,calculated,79.924517538,3.718,calculated
41,39,80,Y,-61148.162,6.242,calculated,8454.2759,0.078,calculated,-6388.0,300.0,estimated,79.93435475,6.701,calculated
40,40,80,Zr,-54760.0,300.0,estimated,8365.0,4.0,estimated,-16339.0,500.0,estimated,79.941213,322.0,estimated
39,41,80,Nb,-38420.0,400.0,estimated,8151.0,5.0,estimated,,,absent,79.958754,429.0,estimated
53,28,81,Ni,-16090.0,700.0,estimated,8000.0,9.0,estimated,15820.0,761.0,estimated,80.982727,751.0,estimated
52,29,81,Cu,-31910.0,300.0,estimated,8185.0,4.0,estimated,14289.0,300.0,estimated,80.965743,322.0,estimated
51,30,81,Zn,-46199.669,5.03,calculated,8351.9262,0.0621,calculated,11428.2924,5.996,calculated,80.950402617,5.4,calculated
50,31,81,Ga,-57627.962,3.264,calculated,8483.3576,0.0403,calculated,8663.7335,3.8508,calculated,80.938133841,3.503,calculated
49,32,81,Ge,-66291.695,2.055,calculated,8580.6587,0.0254,calculated,6241.6189,3.3436,calculated,80.928832941,2.205,calculated
48,33,81,As,-72533.314,2.644,calculated,8648.0571,0.0326,calculated,3855.705,2.8072,calculated,80.922132288,2.838,calculated
47,34,81,Se,-76389.019,0.977,calculated,8685.9998,0.0121,calculated,1588.0317,1.3787,calculated,80.917993019,1.049,calculated
46,35,81,Br,-77977.051,0.978,calculated,8695.9465,0.0121,calculated,-280.8517,0.4713,calculated,80.916288197,1.049,calculated
45,36,81,Kr,-77696.199,1.074,calculated,8682.8206,0.0133,calculated,-2239.4954,5.0188,calculated,80.916589703,1.152,calculated
44,37,81,Rb,-75456.704,4.904,calculated,8645.5139,0.0605,calculated,-3928.5695,5.817,calculated,80.9189939,5.265,calculated
43,38,81,Sr,-71528.134,3.128,calculated,8587.3545,0.0386,calculated,-5815.2156,6.2451,calculated,80.923211393,3.358,calculated
42,39,81,Y,-65712.919,5.405,calculated,8505.9031,0.0667,calculated,-8188.5003,92.3762,calculated,80.929454283,5.802,calculated
41,40,81,Zr,-57524.418,92.218,calculated,8395.1519,1.1385,calculated,-11164.0,410.0,estimated,80.938245,99.0,calculated
40,41,81,Nb,-46360.0,400.0,estimated,8248.0,5.0,estimated,-14900.0,640.0,estimated,80.95023,429.0,estimated
39,42,81,Mo,-31460.0,500.0,estimated,8054.0,6.0,estimated,,,absent,80.966226,537.0,estimated
54,28,82,Ni,-10720.0,800.0,estimated,7935.0,10.0,estimated,15010.0,894.0,estimated,81.988492,859.0,estimated
53,29,82,Cu,-25730.0,400.0,estimated,8108.0,5.0,estimated,16584.0,400.0,estimated,81.972378,429.0,estimated
52,30,82,Zn,-42313.96,3.074,calculated,8301.1175,0.0375,calculated,10616.7652,3.9162,calculated,81.954574097,3.3,calculated
51,31,82,Ga,-52930.725,2.426,calculated,8421.0494,0.0296,calculated,12484.3497,3.296,calculated,81.943176531,2.604,calculated
50,32,82,Ge,-65415.075,2.24,calculated,8563.7567,0.0273,calculated,4690.3523,4.3452,calculated,81.929774031,2.405,calculated
49,33,82,As,-70105.427,3.729,calculated,8611.4153,0.0455,calculated,7488.4677,3.7579,calculated,81.924738731,4.003,calculated
48,34,82,Se,-77593.895,0.466,calculated,8693.1973,0.0057,calculated,-95.2184,1.0767,calculated,81.916699531,0.5,calculated
47,35,82,Br,-77498.677,0.971,calculated,8682.4953,0.0118,calculated,3093.1185,0.9714,calculated,81.916801752,1.042,calculated
46,36,82,Kr,-80591.79509,0.00551,calculated,8710.6754,0.0003,calculated,-4403.9824,3.0088,calculated,81.91348115368,0.00591,calculated
45,37,82,Rb,-76187.813,3.009,calculated,8647.4275,0.0367,calculated,-177.7503,6.7048,calculated,81.918209023,3.23,calculated
44,38,82,Sr,-76010.062,5.992,calculated,8635.719,0.0731,calculated,-7945.965,8.1324,calculated,81.918399845,6.432,calculated
43,39,82,Y,-68064.097,5.499,calculated,8529.2762,0.0671,calculated,-4450.0341,5.7221,calculated,81.926930189,5.902,calculated
42,40,82,Zr,-63614.063,1.584,calculated,8465.4666,0.0193,calculated,-11804.0,300.0,estimated,81.931707497,1.7,calculated
41,41,82,Nb,-51810.0,300.0,estimated,8312.0,4.0,estimated,-11440.0,500.0,estimated,81.94438,322.0,estimated
40,42,82,Mo,-40370.0,400.0,estimated,8163.0,5.0,estimated,,,absent,81.956661,429.0,estimated
54,29,83,Cu,-20390.0,500.0,estimated,8044.0,6.0,estimated,15900.0,583.0,estimated,82.97811,537.0,estimated
53,30,83,Zn,-36290.0,300.0,estimated,8226.0,4.0,estimated,12967.0,300.0,estimated,82.961041,322.0,estimated
52,31,83,Ga,-49257.129,2.612,calculated,8372.5756,0.0315,calculated,11719.3136,3.5592,calculated,82.9471203,2.804,calculated
51,32,83,Ge,-60976.442,2.427,calculated,8504.3462,0.0292,calculated,8692.8893,3.6979,calculated,82.9345391,2.604,calculated
50,33,83,As,-69669.331,2.799,calculated,8599.654,0.0337,calculated,5671.2117,4.129,calculated,82.9252069,3.004,calculated
49,34,83,Se,-75340.543,3.036,calculated,8658.556,0.0366,calculated,3673.178,4.8392,calculated,82.919118604,3.259,calculated
48,35,83,Br,-79013.721,3.795,calculated,8693.3852,0.0457,calculated,976.9222,3.7947,calculated,82.915175285,4.073,calculated
47,36,83,Kr,-79990.643,0.009,calculated,8695.7295,0.0003,calculated,-920.0039,2.3288,calculated,82.914126516,0.009,calculated
46,37,83,Rb,-79070.639,2.329,calculated,8675.2193,0.0281,calculated,-2273.0239,6.4245,calculated,82.915114181,2.5,calculated
45,38,83,Sr,-76797.616,6.834,calculated,8638.4076,0.0823,calculated,-4591.9435,19.8444,calculated,82.917554372,7.336,calculated
44,39,83,Y,-72205.672,18.631,calculated,8573.6571,0.2245,calculated,-6294.0125,19.7074,calculated,82.922484026,20.0,calculated
43,40,83,Zr,-65911.659,6.43,calculated,8488.3997,0.0775,calculated,-8298.7493,162.2075,calculated,82.929240926,6.902,calculated
42,41,83,Nb,-57612.91,162.08,calculated,8378.9889,1.9528,calculated,-11273.0,432.0,estimated,82.93815,174.0,calculated
41,42,83,Mo,-46340.0,401.0,estimated,8234.0,5.0,estimated,-15020.0,641.0,estimated,82.950252,430.0,estimated
40,43,83,Tc,-31320.0,500.0,estimated,8043.0,6.0,estimated,,,absent,82.966377,537.0,estimated
55,29,84,Cu,-13720.0,500.0,estimated,7965.0,6.0,estimated,18110.0,640.0,estimated,83.985271,537.0,estimated
54,30,84,Zn,-31830.0,400.0,estimated,8171.0,5.0,estimated,12264.0,401.0,estimated,83.965829,429.0,estimated
53,31,84,Ga,-44094.136,29.808,calculated,8307.525,0.3549,calculated,14054.2989,29.976,calculated,83.952663,32.0,calculated
52,32,84,Ge,-58148.435,3.171,calculated,8465.5244,0.0377,calculated,7705.1329,4.4789,calculated,83.93757509,3.403,calculated
51,33,84,As,-65853.568,3.171,calculated,8547.9385,0.0377,calculated,10094.1624,3.7219,calculated,83.92930329000001,3.403,calculated
50,34,84,Se,-75947.731,1.961,calculated,8658.7935,0.0233,calculated,1835.3638,25.7652,calculated,83.918466761,2.105,calculated
49,35,84,Br,-77783.094,25.73,calculated,8671.3294,0.3063,calculated,4656.251,25.73,calculated,83.916496417,27.622,calculated
